Intersecting Volume,Volume Flux,Time Stamp
0,0,297.7646
0,0,297.7793
0,0,297.7881
0,0,297.8003
0,0,297.812
0,0,297.8218
0,0,297.834
0,0,297.8447
0,0,297.8555
0,0,297.8667
0,0,297.8794
0,0,297.8926
0,0,297.9033
0,0,297.9146
0,0,297.9238
0,0,297.9355
0,0,297.9453
0,0,297.957
0,0,297.9663
0,0,297.979
0,0,297.9883
0,0,298
0,0,298.0117
0,0,298.022
0,0,298.0361
0,0,298.0474
0,0,298.0581
0,0,298.0669
0,0,298.0791
0,0,298.0884
0,0,298.1001
0,0,298.1113
0,0,298.1216
0,0,298.1338
0,0,298.1445
0,0,298.1558
0,0,298.166
0,0,298.1792
0,0,298.188
0,0,298.1992
0,0,298.2114
0,0,298.2241
0,0,298.2358
0,0,298.2451
0,0,298.2563
0,0,298.2661
0,0,298.2783
0,0,298.3037
0,0,298.3169
0,0,298.3262
0,0,298.3428
0,0,298.3555
0,0,298.3657
0,0,298.3784
0,0,298.3882
0,0,298.3994
0,0,298.4111
0,0,298.4214
0,0,298.4336
0,0,298.4443
0,0,298.4551
0,0,298.4663
0,0,298.4785
0,0,298.4883
0,0,298.4995
0,0,298.5107
0,0,298.5215
0,0,298.5327
0,0,298.5439
0,0,298.5547
0,0,298.5659
0,0,298.5786
0,0,298.5879
0,0,298.5991
0,0,298.6108
0,0,298.624
0,0,298.6357
0,0,298.645
0,0,298.6563
0,0,298.666
0,0,298.6787
0,0,298.688
0,0,298.7002
0,0,298.7119
0,0,298.7212
0,0,298.7339
0,0,298.7441
0,0,298.7554
0,0,298.7661
0,0,298.7788
0,0,298.7881
0,0,298.7998
0,0,298.8115
0,0,298.8247
0,0,298.8374
0,0,298.8467
0,0,298.8574
0,0,298.8667
0,0,298.8789
0,0,298.8892
0,0,298.9009
0,0,298.9136
0,0,298.9233
0,0,298.9346
0,0,298.9468
0,0,298.9575
0,0,298.9683
0,0,298.9805
0,0,298.9922
0,0,299.0015
0,0,299.0132
0,0,299.0239
0,0,299.0352
0,0,299.0469
0,0,299.0576
0,0,299.0684
0,0,299.0806
0,0,299.0918
0,0,299.1016
0,0,299.1138
0,0,299.1235
0,0,299.1357
0.08508914,7.969461,299.1465
0.08508914,0,299.1572
0.1855754,9.463673,299.168
0.2009725,1.283904,299.1802
0.2009725,0,299.1909
0.2455429,4.045574,299.2017
0.2455429,0,299.2139
0.2504052,0.1881064,299.2397
0.2504052,0,299.2534
0.2512155,0.06200684,299.2666
0.2512155,0,299.2788
0.2593193,0.5014063,299.2954
0.2163695,-3.94552,299.3062
0.2163695,0,299.3179
0.2050243,-1.077888,299.3286
0.1474878,-4.953166,299.3403
0.1474878,0,299.3516
0.1166937,-3.674021,299.3599
0.1166937,0,299.3726
0.1029173,-1.55333,299.3813
0.1029173,0,299.3931
0.09157212,-1.267382,299.4023
0.09157212,0,299.4141
0.08265802,-0.9464858,299.4238
0.08265802,0,299.4355
0.1012966,1.050001,299.4531
0.08103728,-1.709258,299.4653
0.08103728,0,299.4775
0.09319287,1.24237,299.4873
0.09319287,0,299.4995
0.1053485,1.16376,299.5098
0.1069692,0.1353883,299.522
0.1069692,0,299.5332
0.1191248,1.217056,299.543
0.1191248,0,299.5542
0.1329011,1.238723,299.5654
0.1329011,0,299.5776
0.1401945,0.7281854,299.5879
0.149919,0.5197054,299.6064
0.149919,0,299.6182
0.1531605,0.3321578,299.6279
0.0923825,-5.174794,299.6396
0.0923825,0,299.6514
0,-11.13163,299.6597
0,0,299.6729
0,0,299.6826
0,0,299.6948
0,0,299.7031
0,0,299.7144
0,0,299.731
0,0,299.7441
0,0,299.7622
0,0,299.7744
0,0,299.7881
0,0,299.7998
0,0,299.811
0,0,299.8208
0,0,299.834
0,0,299.8433
0,0,299.8721
0,0,299.8853
0,0,299.9014
0,0,299.9146
0,0,299.9258
0,0,299.9375
0,0,299.9463
