Transform Name,Closest collider,Distance X,Distance Y,Distance Z,Magnitude,Time Stamp
Wrist,Top Steel shiny,0.7897412,-2.384186E-06,3.564685,3.651119,297.7646
Wrist,Top Steel shiny,0.7897412,-2.384186E-06,3.564685,3.651119,297.7793
Wrist,Top Steel shiny,0.7855272,-2.503395E-06,3.558165,3.643843,297.7881
Wrist,Top Steel shiny,0.7824201,-2.503395E-06,3.549109,3.63433,297.8003
Wrist,Top Steel shiny,0.7824201,-2.503395E-06,3.549109,3.63433,297.812
Wrist,Top Steel shiny,0.7802708,-2.503395E-06,3.537547,3.622576,297.8218
Wrist,Top Steel shiny,0.7802708,-2.503395E-06,3.537547,3.622576,297.834
Wrist,Top Steel shiny,0.7788731,-2.503395E-06,3.523566,3.608623,297.8447
Wrist,Top Steel shiny,0.7788731,-2.503395E-06,3.523566,3.608623,297.8555
Wrist,Top Steel shiny,0.7779717,-2.145767E-06,3.507261,3.592509,297.8667
Wrist,Top Steel shiny,0.7773353,-2.503395E-06,3.488662,3.574215,297.8794
Wrist,Top Steel shiny,0.7773353,-2.503395E-06,3.488662,3.574215,297.8926
Wrist,Top Steel shiny,0.7767429,-2.264977E-06,3.467724,3.553652,297.9033
Wrist,Top Steel shiny,0.7767429,-2.264977E-06,3.467724,3.553652,297.9146
Wrist,Top Steel shiny,0.7760586,-3.457069E-06,3.444173,3.530523,297.9238
Wrist,Top Steel shiny,0.7760586,-3.457069E-06,3.444173,3.530523,297.9355
Wrist,Top Steel shiny,0.7751753,-3.218651E-06,3.418207,3.505002,297.9453
Wrist,Top Steel shiny,0.7751753,-3.218651E-06,3.418207,3.505002,297.957
Wrist,Top Steel shiny,0.774002,-3.33786E-06,3.389975,3.477213,297.9663
Wrist,Top Steel shiny,0.774002,-3.33786E-06,3.389975,3.477213,297.979
Wrist,Top Steel shiny,0.7724971,-3.218651E-06,3.35957,3.44724,297.9883
Wrist,Top Steel shiny,0.7706468,-3.933907E-06,3.327474,3.41555,298
Wrist,Top Steel shiny,0.7706468,-3.933907E-06,3.327474,3.41555,298.0117
Wrist,Top Steel shiny,0.7685439,-3.933907E-06,3.294108,3.382574,298.022
Wrist,Top Steel shiny,0.7685439,-3.933907E-06,3.294108,3.382574,298.0361
Wrist,Top Steel shiny,0.7663209,-3.933907E-06,3.259786,3.34865,298.0474
Wrist,Top Steel shiny,0.7663209,-3.933907E-06,3.259786,3.34865,298.0581
Wrist,Top Steel shiny,0.7640588,-3.576279E-06,3.224982,3.314256,298.0669
Wrist,Top Steel shiny,0.7640588,-3.576279E-06,3.224982,3.314256,298.0791
Wrist,Top Steel shiny,0.7618267,-3.933907E-06,3.189919,3.279628,298.0884
Wrist,Top Steel shiny,0.7596049,-3.933907E-06,3.154888,3.245045,298.1001
Wrist,Top Steel shiny,0.7596049,-3.933907E-06,3.154888,3.245045,298.1113
Wrist,Top Steel shiny,0.7574345,-3.695488E-06,3.119973,3.210598,298.1216
Wrist,Top Steel shiny,0.7574345,-3.695488E-06,3.119973,3.210598,298.1338
Wrist,Top Steel shiny,0.7553238,-3.933907E-06,3.084819,3.175944,298.1445
Wrist,Top Steel shiny,0.7553238,-3.933907E-06,3.084819,3.175944,298.1558
Wrist,Top Steel shiny,0.7532169,-3.814697E-06,3.049308,3.140958,298.166
