Particles in Bath,Particles in Bin 1,Particles in Bin 2,Total particles,Time Stamp
633,9,93,750,295.0959
633,9,93,750,295.1479
633,9,93,750,295.1926
632,9,93,750,295.2483
631,9,93,750,295.2927
631,9,93,750,295.3477
628,9,93,750,295.3928
623,9,93,750,295.4407
620,9,93,750,295.4929
615,9,93,750,295.5479
615,9,93,750,295.5964
615,9,93,750,295.6404
615,9,93,750,295.6926
615,9,93,750,295.7476
615,9,93,750,295.7932
615,9,93,750,295.8477
615,9,93,750,295.8928
615,9,93,750,295.9475
615,9,93,750,295.9927
615,9,93,750,296.0474
615,9,93,750,296.093
615,9,93,750,296.1475
615,9,93,750,296.1924
615,9,93,750,296.2495
615,9,93,750,296.3042
615,9,93,750,296.3474
615,9,93,750,296.3926
615,9,93,750,296.4475
615,9,94,750,296.4927
615,9,95,750,296.5474
615,9,96,750,296.5923
615,9,98,750,296.6475
615,9,99,750,296.696
615,9,101,750,296.7471
615,9,106,750,296.792
615,9,108,750,296.8403
615,9,110,750,296.8918
615,9,111,750,296.947
615,9,111,750,296.9907
615,9,111,750,297.0471
615,9,113,750,297.0923
615,9,113,750,297.1455
615,9,113,750,297.1965
615,9,113,750,297.2471
615,9,113,750,297.2917
615,9,113,750,297.3403
615,9,113,750,297.3916
615,9,113,750,297.4468
615,9,113,750,297.4924
615,9,113,750,297.5469
615,9,113,750,297.5925
615,9,113,750,297.6467
615,9,113,750,297.6914
615,9,113,750,297.7468
615,9,113,750,297.7917
615,9,113,750,297.8464
615,9,113,750,297.8984
615,9,113,750,297.9417
615,9,113,750,297.9907
615,9,113,750,298.0469
615,9,113,750,298.0918
615,9,113,750,298.1465
615,9,113,750,298.1909
615,9,113,750,298.2466
615,9,113,750,298.291
615,9,113,750,298.3464
615,9,113,750,298.3921
615,9,113,750,298.4465
615,9,113,750,298.4907
615,9,113,750,298.5469
615,9,113,750,298.5945
615,9,113,750,298.6467
615,9,113,750,298.6907
615,9,113,750,298.7463
615,9,113,750,298.7908
615,9,113,750,298.8462
615,9,113,750,298.8909
615,9,113,750,298.9465
615,9,113,750,298.9905
615,9,113,750,299.0488
615,9,113,750,299.0908
615,9,113,750,299.1482
615,9,113,750,299.1907
615,9,113,750,299.2461
615,9,113,750,299.2908
615,9,113,750,299.3459
615,9,113,750,299.3904
615,9,113,750,299.446
615,9,113,750,299.4907
615,9,113,750,299.5459
615,9,113,750,299.5903
615,9,113,750,299.646
615,9,113,750,299.6899
615,9,113,750,299.7458
615,9,113,750,299.79
615,9,113,750,299.8457
615,9,113,750,299.8901
615,9,113,750,299.9458
615,9,113,750,299.9907
750,0,0,750,0.04418945
750,0,0,750,0.09765625
750,0,0,750,0.1506348
750,0,0,750,0.1948242
750,0,0,750,0.2504883
750,0,0,750,0.2949219
750,0,0,750,0.3503418
750,0,0,750,0.3947754
750,0,0,750,0.4504395
750,0,0,750,0.494873
