Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,LinVelocity X,LinVelocity Y,LinVelocity Z,AngVelocity X,AngVelocity Y,AngVelocity Z,Impact Force X,Impact Force Y,Impact Force Z,Impact Force Magnitude,Colliding Body,Time Stamp
Scoop,-1.699766,1.012095,2.227968,0.5148249,0.2082434,0.132147,-0.8210527,0.1394342,0.552161,-0.08680615,-0.06473815,-0.007367302,0.1079888,0,0,0,0,,299.5193
Scoop,-1.697859,1.023635,2.225482,0.5147341,0.2086083,0.1319322,-0.8210515,0.126532,0.5833986,-0.119154,-0.001846038,-0.02016645,0.03838078,0,0,0,0,,299.5322
Scoop,-1.697859,1.023635,2.225482,0.5147341,0.2086083,0.1319322,-0.8210515,0.126532,0.5833986,-0.119154,-0.001846038,-0.02016645,0.03838078,0,0,0,0,,299.5449
Scoop,-1.695233,1.035996,2.222906,0.5172171,0.2065202,0.1304441,-0.8202565,0.01058766,0.5256037,-0.01585028,-0.2481312,0.2640983,-0.04739972,0,0,0,0,,299.5598
Scoop,-1.692635,1.048326,2.220633,0.517553,0.2067409,0.1315435,-0.8198133,0.0965758,0.589518,-0.07973189,-0.03067477,-0.07980523,-0.09137698,0,0,0,0,,299.574
Scoop,-1.692635,1.048326,2.220633,0.517553,0.2067409,0.1315435,-0.8198133,0.0965758,0.589518,-0.07973189,-0.03067477,-0.07980523,-0.09137698,0,0,0,0,,299.5867
Scoop,-1.689758,1.06087,2.218234,0.51952,0.2053066,0.1297709,-0.8192118,0.0833694,0.56098,-0.02320372,-0.2101045,0.2226671,0.02262434,0,0,0,0,,299.5959
Scoop,-1.689758,1.06087,2.218234,0.51952,0.2053066,0.1297709,-0.8192118,0.0833694,0.56098,-0.02320372,-0.2101045,0.2226671,0.02262434,0,0,0,0,,299.6079
Scoop,-1.686941,1.073746,2.216128,0.520409,0.2065602,0.1286413,-0.8185104,0.240707,0.6173897,-0.0003829636,-0.1487076,-0.0468923,0.1303534,0,0,0,0,,299.6189
Scoop,-1.683756,1.086623,2.214661,0.5204613,0.207674,0.129371,-0.8180801,0.1990681,0.63361,-0.03166683,-0.02595629,-0.1373754,-0.008261487,0,0,0,0,,299.6323
Scoop,-1.680085,1.099615,2.2136,0.52127,0.2064106,0.129667,-0.8178381,0.08072042,0.611204,-0.03342359,-0.05631088,0.09331451,-0.1097785,0,0,0,0,,299.6575
Scoop,-1.680085,1.099615,2.2136,0.52127,0.2064106,0.129667,-0.8178381,0.08072042,0.611204,-0.03342359,-0.05631088,0.09331451,-0.1097785,0,0,0,0,,299.6704
Scoop,-1.676809,1.112659,2.212463,0.522486,0.2057978,0.1279611,-0.817485,0.165853,0.6182116,0.01120145,-0.1450972,0.1474783,0.07791667,0,0,0,0,,299.6812
Scoop,-1.673889,1.125392,2.211548,0.5221248,0.20707,0.1274517,-0.8174741,0.2483709,0.6582117,-0.03243837,0.002159059,-0.08221024,0.1153592,0,0,0,0,,299.6934
Scoop,-1.673889,1.125392,2.211548,0.5221248,0.20707,0.1274517,-0.8174741,0.2483709,0.6582117,-0.03243837,0.002159059,-0.08221024,0.1153592,0,0,0,0,,299.7061
Scoop,-1.670798,1.138412,2.210745,0.5234194,0.2075095,0.1263358,-0.8167076,0.1978295,0.6076922,0.06945349,-0.1745466,0.02296238,0.07759175,0,0,0,0,,299.7168
Scoop,-1.670798,1.138412,2.210745,0.5234194,0.2075095,0.1263358,-0.8167076,0.1978295,0.6076922,0.06945349,-0.1745466,0.02296238,0.07759175,0,0,0,0,,299.7285
Scoop,-1.667631,1.151385,2.210275,0.5243055,0.2080581,0.1270351,-0.8158909,0.1495093,0.6029449,0.06252498,-0.1075368,-0.08714877,-0.05708407,0,0,0,0,,299.7388
Scoop,-1.664747,1.163656,2.210225,0.5243804,0.2081883,0.1274425,-0.8157461,0.1360566,0.6060535,0.008003265,-0.006969616,-0.0340439,-0.02985722,0,0,0,0,,299.7527
Scoop,-1.664747,1.163656,2.210225,0.5243804,0.2081883,0.1274425,-0.8157461,0.1360566,0.6060535,0.008003265,-0.006969616,-0.0340439,-0.02985722,0,0,0,0,,299.7661
Scoop,-1.662453,1.175396,2.210328,0.5244896,0.2092361,0.126456,-0.8155613,0.2124033,0.5940312,0.04583493,-0.05255681,-0.03614653,0.1306585,0,0,0,0,,299.7759
Scoop,-1.662453,1.175396,2.210328,0.5244896,0.2092361,0.126456,-0.8155613,0.2124033,0.5940312,0.04583493,-0.05255681,-0.03614653,0.1306585,0,0,0,0,,299.7886
Scoop,-1.660217,1.1871,2.210538,0.5257483,0.2098304,0.1243242,-0.8149258,0.20273,0.5558115,0.1210625,-0.1881103,0.06596664,0.170554,0,0,0,0,,299.7988
Scoop,-1.657806,1.19845,2.211115,0.5265308,0.2104941,0.1243261,-0.8142487,0.1461589,0.5345449,0.1099668,-0.107631,-0.05863731,0.009853363,0,0,0,0,,299.8118
Scoop,-1.657806,1.19845,2.211115,0.5265308,0.2104941,0.1243261,-0.8142487,0.1461589,0.5345449,0.1099668,-0.107631,-0.05863731,0.009853363,0,0,0,0,,299.8264
Scoop,-1.655252,1.20967,2.211612,0.5288119,0.2096313,0.1233183,-0.8131454,0.07059775,0.4751327,0.167619,-0.2543365,0.1284435,-0.02515804,0,0,0,0,,299.8372
Scoop,-1.655252,1.20967,2.211612,0.5288119,0.2096313,0.1233183,-0.8131454,0.07059775,0.4751327,0.167619,-0.2543365,0.1284435,-0.02515804,0,0,0,0,,299.8489
Scoop,-1.653137,1.220343,2.212102,0.5293715,0.2107727,0.1237079,-0.8124268,0.1498039,0.5064688,0.1055175,-0.08947906,-0.1215517,0.007970944,0,0,0,0,,299.8591
Scoop,-1.651246,1.230495,2.212434,0.53024,0.2110184,0.1231075,-0.811888,0.1157799,0.4782605,0.08986562,-0.1148063,0.01124239,0.03672564,0,0,0,0,,299.8738
Scoop,-1.651246,1.230495,2.212434,0.53024,0.2110184,0.1231075,-0.811888,0.1157799,0.4782605,0.08986562,-0.1148063,0.01124239,0.03672564,0,0,0,0,,299.8857
Scoop,-1.649639,1.240521,2.212457,0.5316896,0.2109344,0.1205871,-0.8113396,0.1420613,0.4691956,0.1044837,-0.1989139,0.1467437,0.1627136,0,0,0,0,,299.895
Scoop,-1.649639,1.240521,2.212457,0.5316896,0.2109344,0.1205871,-0.8113396,0.1420613,0.4691956,0.1044837,-0.1989139,0.1467437,0.1627136,0,0,0,0,,299.9077
Scoop,-1.647925,1.250587,2.211879,0.5342841,0.2102983,0.120113,-0.8098695,0.01711122,0.3999036,0.1488373,-0.2909386,0.0770957,-0.06780489,0,0,0,0,,299.9192
Scoop,-1.646709,1.259857,2.211323,0.5335683,0.2107906,0.1203444,-0.810179,0.09520758,0.4905337,-0.06646921,0.07332852,-0.05432195,0.02622768,0,0,0,0,,299.9321
Scoop,-1.646709,1.259857,2.211323,0.5335683,0.2107906,0.1203444,-0.810179,0.09520758,0.4905337,-0.06646921,0.07332852,-0.05432195,0.02622768,0,0,0,0,,299.9453
Scoop,-1.645723,1.269163,2.209976,0.5354209,0.2108857,0.1182699,-0.8092369,0.09817378,0.412675,0.07487583,-0.2451391,0.1054304,0.1227024,0,0,0,0,,299.9597
Scoop,-1.644788,1.278108,2.208535,0.5361059,0.211574,0.1184889,-0.8085712,0.06700648,0.4173082,0.004353739,-0.09462151,-0.07335299,-0.003202036,0,0,0,0,,299.9736
Scoop,-1.644788,1.278108,2.208535,0.5361059,0.211574,0.1184889,-0.8085712,0.06700648,0.4173082,0.004353739,-0.09462151,-0.07335299,-0.003202036,0,0,0,0,,299.9863
Scoop,-1.644007,1.286994,2.20681,0.5376667,0.2113028,0.1161481,-0.8079453,0.08170789,0.4068083,0.02125891,-0.2060487,0.1526282,0.1342449,0,0,0,0,,299.9961
Scoop,-1.281439,2.068473,0.672404,0.001784798,-0.7083709,-0.002466798,-0.705834,0.009021514,-0.1523345,0.1078517,0.04821879,0.179219,0.3004535,0,0,0,0,,0.0234375
Scoop,-1.280413,2.070396,0.67163,0.002056699,-0.7081255,-0.001425639,-0.7060825,0.05307896,0.1368103,-0.07045729,-0.0928288,-0.03515966,-0.05421174,0,0,0,0,,0.04418945
Scoop,-1.278933,2.073322,0.6700935,0.001300403,-0.7078748,-0.001844303,-0.7063348,0.07504585,0.1639299,-0.09791875,0.08311971,-0.03537538,-0.0240504,0,0,0,0,,0.05761719
Scoop,-1.277049,2.077142,0.6677073,0.0009391914,-0.7076171,-0.001996452,-0.706593,0.09501545,0.2018266,-0.1440832,0.03636196,-0.0363994,-0.01490662,0,0,0,0,,0.07275391
Scoop,-1.277049,2.077142,0.6677073,0.0009391914,-0.7076171,-0.001996452,-0.706593,0.09501545,0.2018266,-0.1440832,0.03636196,-0.0363994,-0.01490662,0,0,0,0,,0.08569336
Scoop,-1.27486,2.081676,0.6642211,8.937437E-06,-0.7073386,-0.001406618,-0.7068737,0.1162889,0.3072643,-0.2020636,0.02407348,-0.03945647,-0.1075494,0,0,0,0,,0.09643555
Scoop,-1.27486,2.081676,0.6642211,8.937437E-06,-0.7073386,-0.001406618,-0.7068737,0.1162889,0.3072643,-0.2020636,0.02407348,-0.03945647,-0.1075494,0,0,0,0,,0.1096191
Scoop,-1.272174,2.086843,0.6595072,-0.001046002,-0.706489,0.001079422,-0.707723,0.1505896,0.4462034,-0.3319748,-0.1011409,-0.1199858,-0.250431,0,0,0,0,,0.1242676
Scoop,-1.268946,2.092837,0.6535845,-0.001803819,-0.7052573,0.002321974,-0.7089455,0.1708891,0.4058684,-0.428101,-0.03440847,-0.1734993,-0.1415038,0,0,0,0,,0.1367188
Scoop,-1.268946,2.092837,0.6535845,-0.001803819,-0.7052573,0.002321974,-0.7089455,0.1708891,0.4058684,-0.428101,-0.03440847,-0.1734993,-0.1415038,0,0,0,0,,0.1484375
Scoop,-1.265297,2.099048,0.6463903,-0.004263413,-0.7040181,0.003682029,-0.7101601,0.2021604,0.5133854,-0.4841919,0.07793895,-0.1738686,-0.2697646,0,0,0,0,,0.1586914
Scoop,-1.261119,2.105779,0.6380432,-0.00559921,-0.7029359,0.003860757,-0.7112209,0.2171981,0.4172952,-0.5252079,0.08142444,-0.1520325,-0.1068467,0,0,0,0,,0.1706543
Scoop,-1.261119,2.105779,0.6380432,-0.00559921,-0.7029359,0.003860757,-0.7112209,0.2171981,0.4172952,-0.5252079,0.08142444,-0.1520325,-0.1068467,0,0,0,0,,0.1843262
Scoop,-1.256295,2.112818,0.6287342,-0.007683964,-0.701772,0.004067183,-0.7123486,0.2545487,0.4741904,-0.5772709,0.1326706,-0.1628468,-0.1614192,0,0,0,0,,0.1962891
Scoop,-1.250811,2.120238,0.6185402,-0.009458644,-0.7007908,0.004213874,-0.7132919,0.2857888,0.4736456,-0.6032371,0.1149932,-0.1368486,-0.1353692,0,0,0,0,,0.2099609
Scoop,-1.250811,2.120238,0.6185402,-0.009458644,-0.7007908,0.004213874,-0.7132919,0.2857888,0.4736456,-0.6032371,0.1149932,-0.1368486,-0.1353692,0,0,0,0,,0.2231445
Scoop,-1.244406,2.128381,0.6075519,-0.01214226,-0.6996899,0.003759673,-0.7143342,0.3341835,0.5269438,-0.6462732,0.2217737,-0.1532724,-0.1562837,0,0,0,0,,0.2329102
Scoop,-1.244406,2.128381,0.6075519,-0.01214226,-0.6996899,0.003759673,-0.7143342,0.3341835,0.5269438,-0.6462732,0.2217737,-0.1532724,-0.1562837,0,0,0,0,,0.2451172
Scoop,-1.237288,2.136809,0.5955277,-0.0195884,-0.6988688,0.003698989,-0.7149723,0.4012883,0.816214,-0.6348675,0.5349993,-0.1063889,-0.5173002,0,0,0,0,,0.2563477
Scoop,-1.237288,2.136809,0.5955277,-0.0195884,-0.6988688,0.003698989,-0.7149723,0.4012883,0.816214,-0.6348675,0.5349993,-0.1063889,-0.5173002,0,0,0,0,,0.2683105
